PRO_COM_T,COD_PROV,comune,provincia,regione,popolazione,area_km2,densita_ab_km2
006067,006,"Fabbrica Curone","6","1",530,53.85,9.8
006068,006,"Felizzano","6","1",2066,25.01,82.6
006069,006,"Fraconalto","6","1",307,17.62,17.4
006070,006,"Francavilla Bisio","6","1",491,7.75,63.4
006071,006,"Frascaro","6","1",425,5.29,80.3
006072,006,"Frassinello Monferrato","6","1",449,8.43,53.3
006073,006,"Frassineto Po","6","1",1349,29.46,45.8
006074,006,"Fresonara","6","1",651,6.93,93.9
006075,006,"Frugarolo","6","1",1882,27.04,69.6
006076,006,"Fubine Monferrato","6","1",1604,25.53,62.8
006077,006,"Gabiano","6","1",1033,17.77,58.1
006078,006,"Gamalero","6","1",783,12.15,64.4
006079,006,"Garbagna","6","1",638,20.72,30.8
006081,006,"Gavi","6","1",4344,45.04,96.4
006082,006,"Giarole","6","1",682,5.45,125.1
006083,006,"Gremiasco","6","1",277,17.38,15.9
006084,006,"Grognardo","6","1",225,9.08,24.8
006085,006,"Grondona","6","1",477,25.94,18.4
006086,006,"Guazzora","6","1",288,2.8,102.9
006087,006,"Isola Sant'Antonio","6","1",654,23.55,27.8
006088,006,"Lerma","6","1",797,14.54,54.8
006090,006,"Malvicino","6","1",79,9.03,8.7
006091,006,"Masio","6","1",1276,22.23,57.4
006092,006,"Melazzo","6","1",1236,19.74,62.6
006093,006,"Merana","6","1",172,9.2,18.7
006094,006,"Mirabello Monferrato","6","1",1204,13.24,90.9
006095,006,"Molare","6","1",1984,32.5,61
