codice_comune,COD_PROV,anno,popolazione
001153,001,2025,399
001153,001,2026,399
001154,001,2025,609
001154,001,2026,612
001155,001,2025,332
001155,001,2026,403
001156,001,2025,55439
001156,001,2026,55442
001157,001,2025,48
001157,001,2026,44
001158,001,2025,714
001158,001,2026,709
001159,001,2025,958
001159,001,2026,966
001160,001,2025,3296
001160,001,2026,3307
001161,001,2025,5024
001161,001,2026,4974
001162,001,2025,839
001162,001,2026,824
001163,001,2025,832
001163,001,2026,823
001164,001,2025,45830
001164,001,2026,45680
001165,001,2025,99
001165,001,2026,97
001166,001,2025,6634
001166,001,2026,6660
001167,001,2025,271
001167,001,2026,275
001168,001,2025,7662
001168,001,2026,7641
001169,001,2025,518
001169,001,2026,525
001170,001,2025,1428
001170,001,2026,1419
001171,001,2025,22811
001171,001,2026,22779
001172,001,2025,732
001172,001,2026,730
001173,001,2025,1158
001173,001,2026,1161
001174,001,2025,899
001174,001,2026,896
001175,001,2025,3277
001175,001,2026,3295
001176,001,2025,1175
001176,001,2026,1164
001177,001,2025,836
001177,001,2026,834
001178,001,2025,1958
001178,001,2026,1945
001179,001,2025,413
001179,001,2026,394
001180,001,2025,1170
001180,001,2026,1165
001181,001,2025,3618
001181,001,2026,3628
001183,001,2025,4020
001183,001,2026,4007
001184,001,2025,3106
001184,001,2026,3138
001185,001,2025,499
001185,001,2026,492
001186,001,2025,554
001186,001,2026,547
001187,001,2025,734
001187,001,2026,744
001188,001,2025,599
001188,001,2026,612
001189,001,2025,15604
001189,001,2026,15657
001190,001,2025,2781
001190,001,2026,2756
001191,001,2025,35439
001191,001,2026,35436
001192,001,2025,8357
001192,001,2026,8336
001193,001,2025,3762
001193,001,2026,3764
001194,001,2025,18051
001194,001,2026,17844
001195,001,2025,3276
001195,001,2026,3288
001196,001,2025,1227
001196,001,2026,1224
001197,001,2025,10197
001197,001,2026,10165
001198,001,2025,944
001198,001,2026,935
001199,001,2025,3020
001199,001,2026,3017
001200,001,2025,1123
001200,001,2026,1113
001201,001,2025,705
001201,001,2026,694
001202,001,2025,256
001202,001,2026,251
001203,001,2025,1871
001203,001,2026,1872
001204,001,2025,216
001204,001,2026,211
001205,001,2025,1259
001205,001,2026,1238
001206,001,2025,695
001206,001,2026,686
001207,001,2025,456
001207,001,2026,444
001208,001,2025,315
001208,001,2026,333
001209,001,2025,328
001209,001,2026,329
001210,001,2025,976
001210,001,2026,991
001211,001,2025,1758
001211,001,2026,1779
001212,001,2025,47
001212,001,2026,43
001213,001,2025,1141
001213,001,2026,1135
001214,001,2025,20057
001214,001,2026,20019
001215,001,2025,4746
001215,001,2026,4756
001216,001,2025,2456
001216,001,2026,2421
001217,001,2025,12326
